Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
2025-05-09 03:04:59,Qubit4,49.997663,3.549770,1.381220,0.282822
2025-05-09 03:08:23,Qubit1,25.724406,1.316646,0.943835,0.153140
2025-05-09 03:08:24,Qubit4,54.562474,3.981436,1.219717,0.238699
2025-05-09 03:11:48,Qubit1,25.124604,1.201004,1.018072,0.176989
2025-05-09 03:11:48,Qubit4,49.048280,3.651805,1.562613,0.324517
2025-05-09 03:15:12,Qubit1,21.068413,1.135005,0.950161,0.183624
2025-05-09 03:15:12,Qubit4,48.855296,3.334302,1.303716,0.300042
2025-05-09 03:18:37,Qubit1,25.560524,1.336322,1.052776,0.181355
2025-05-09 03:18:37,Qubit4,49.193813,4.040279,1.287356,0.279994
2025-05-09 03:22:01,Qubit1,25.373286,1.220335,1.128881,0.218608
2025-05-09 03:22:01,Qubit4,57.769277,4.768752,1.221955,0.278035
2025-05-09 03:25:25,Qubit1,25.045372,1.269702,1.130930,0.187703
2025-05-09 03:25:25,Qubit4,47.177731,3.262238,1.294934,0.285446
2025-05-09 03:28:50,Qubit1,23.901794,1.174479,0.978687,0.197177
2025-05-09 03:28:50,Qubit4,55.186710,3.968899,1.263425,0.283397
2025-05-09 03:32:14,Qubit1,24.298397,1.191142,0.965273,0.163352
2025-05-09 03:32:14,Qubit4,54.653727,5.123307,1.237301,0.285913
2025-05-09 03:35:39,Qubit1,22.288880,1.229754,0.981173,0.169999
2025-05-09 03:35:39,Qubit4,55.653495,4.437438,1.212043,0.282669
2025-05-09 03:39:03,Qubit1,24.395463,1.278773,1.017474,0.168290
2025-05-09 03:39:03,Qubit4,51.637922,4.328566,1.198618,0.298384
2025-05-09 03:42:27,Qubit1,27.880670,1.416382,1.091565,0.200225
2025-05-09 03:42:27,Qubit4,55.827292,4.052361,1.309028,0.310231
2025-05-09 03:45:52,Qubit1,23.763616,1.127410,1.068718,0.184290
2025-05-09 03:45:52,Qubit4,55.903353,4.888245,1.235597,0.312267
2025-05-09 03:49:16,Qubit1,23.941043,1.000031,1.046224,0.186953
2025-05-09 03:49:16,Qubit4,52.979912,4.573218,1.269013,0.288389
2025-05-09 03:52:40,Qubit1,25.565728,1.032459,1.074867,0.196737
2025-05-09 03:52:40,Qubit4,58.596948,5.158340,1.511239,0.451371
2025-05-09 03:56:05,Qubit1,26.553509,1.331969,1.193376,0.209139
2025-05-09 03:56:05,Qubit4,45.300202,3.584553,1.300426,0.323428
2025-05-09 03:59:29,Qubit1,22.493693,0.951259,1.156164,0.224493
2025-05-09 03:59:29,Qubit4,45.391744,3.432346,1.341525,0.348953
2025-05-09 04:02:53,Qubit1,26.345517,1.229879,1.108756,0.193120
2025-05-09 04:02:53,Qubit4,50.067110,4.285739,1.257296,0.287771
2025-05-09 04:06:18,Qubit1,23.721166,1.032991,1.054130,0.210057
2025-05-09 04:06:18,Qubit4,48.901705,4.630510,1.380870,0.302277
2025-05-09 04:09:42,Qubit1,26.097693,1.289551,0.976195,0.168863
2025-05-09 04:09:42,Qubit4,46.467118,3.505173,1.349212,0.363865
2025-05-09 04:13:07,Qubit1,26.690908,1.448601,1.060802,0.218328
2025-05-09 04:13:07,Qubit4,50.602020,4.402952,1.318465,0.335418
