Timestamp,Q1 T1 (us),Q1 T1 sigma,Q1 T4 (us),Q4 T1 sigma,mux Q1 T1 (us),muxQ1 T1 sigma,mux Q4 T1 (us),muxQ4 T1 sigma
5/12/2025 23:51,44.543121,2.066285,50.51001,4.210614,41.837623,1.80993,60.822108,5.876425
5/13/2025 0:04,46.790472,2.120368,47.061765,4.090672,34.614876,1.722696,50.813187,5.022751
5/13/2025 0:17,32.78045,1.899141,47.517475,4.288371,41.129095,2.784079,64.054259,6.529183
5/13/2025 0:30,41.92145,1.942269,54.818614,4.866908,33.506147,1.825722,51.917919,4.441688
5/13/2025 0:43,38.879473,1.756581,51.406538,4.915783,39.943405,2.099713,51.46731,4.883124
5/13/2025 0:56,38.333679,1.444693,54.974713,5.366691,43.850254,1.803225,55.475452,5.420463
5/13/2025 1:09,36.922453,1.737517,62.007614,6.159253,41.636671,1.736179,51.74826,4.679638
5/13/2025 1:22,39.707042,1.68793,52.296968,4.329103,34.708504,2.027063,54.266835,5.158346
5/13/2025 1:36,34.999753,1.807036,55.78816,5.289941,40.597586,1.985168,50.899206,4.622893
5/13/2025 1:49,40.33058,2.335827,49.9795,4.894193,37.884819,1.70054,48.740961,3.603713
5/13/2025 2:02,36.621528,1.92057,53.536504,5.673918,39.231789,1.889555,57.071649,5.881258
5/13/2025 2:15,40.358871,1.978817,47.548093,3.565004,41.079979,2.395816,54.903751,4.792147
5/13/2025 2:28,40.187516,1.972237,52.993739,5.096459,32.919152,1.568588,56.118681,5.059345
5/13/2025 2:41,30.128964,1.483497,55.359267,4.924936,30.213259,1.461786,56.508304,4.917323
5/13/2025 2:54,27.779544,1.345397,48.054696,4.491221,27.565984,1.246941,58.808115,6.072914
5/13/2025 3:07,28.756526,1.329078,56.119276,5.715262,30.668199,1.399144,58.824266,5.879675
5/13/2025 3:20,30.440376,1.924002,64.541557,6.892742,31.387406,1.213764,50.649945,4.284373
5/13/2025 3:33,31.640636,1.086632,58.693322,5.53791,33.453975,1.196162,60.192767,6.665724
5/13/2025 3:46,30.863266,1.061886,44.458376,3.968999,32.460567,1.361577,57.091496,5.22328
5/13/2025 3:59,32.072782,1.147846,49.853862,3.947913,31.470975,1.050711,53.66104,5.043214
5/13/2025 4:12,30.728341,1.489625,57.978131,5.339819,30.264519,1.397677,44.366177,3.458107
5/13/2025 4:25,24.783238,1.374492,61.178225,6.073266,28.812943,1.209478,51.038939,4.979662
5/13/2025 4:38,32.548465,1.213094,60.440493,6.269483,33.575452,1.37301,51.319244,4.153493
5/13/2025 4:51,35.77165,1.759009,59.486878,6.312811,36.305705,1.572491,49.707269,4.252648
5/13/2025 5:04,36.534829,1.972486,47.47887,4.432224,37.986089,1.718409,50.21857,4.198053
5/13/2025 5:17,42.181922,1.813883,58.547185,5.11538,42.096869,1.745364,61.535768,7.774647
5/13/2025 5:30,39.951378,1.588466,47.118746,4.499789,40.314701,1.570388,53.950685,6.223189
5/13/2025 5:43,43.308189,1.881495,52.46468,5.510575,40.929787,1.581355,43.843451,3.992116
5/13/2025 5:56,46.428911,2.263717,47.316941,3.956537,37.483795,1.561647,47.554587,4.150557
5/13/2025 6:09,36.837686,1.584575,54.668933,5.645535,30.437521,1.523793,50.359443,5.181293
5/13/2025 6:22,35.720102,1.56199,49.12641,4.701295,35.660913,1.553615,50.991247,4.425974
5/13/2025 6:36,35.740977,1.977536,51.939825,4.790505,38.462464,1.661485,54.828847,6.265314
5/13/2025 6:49,43.290087,1.719648,60.460246,6.56522,45.406455,2.075421,42.749837,2.922681
5/13/2025 7:02,42.41986,1.983117,50.917216,4.467664,39.504857,1.646274,54.145695,5.59174
5/13/2025 7:15,37.708452,1.869904,64.663172,6.950451,42.889496,1.655249,59.607647,6.076775
5/13/2025 7:28,43.131119,1.72153,68.068738,8.570703,34.496026,1.764548,61.289044,5.718097
5/13/2025 7:41,35.164628,1.777981,51.001376,4.851302,42.498571,2.062089,66.418271,7.929078
5/13/2025 7:54,34.008478,1.409309,50.397593,4.384627,40.249579,1.861246,63.429241,6.549939
5/13/2025 8:07,34.667732,1.753778,62.491017,6.038938,43.637782,1.938627,56.956392,5.728273
5/13/2025 8:20,42.590375,1.969294,59.595095,5.644873,36.625924,2.14662,47.781283,3.713222
5/13/2025 8:33,35.729324,1.62019,50.317028,4.302126,37.854879,1.912629,60.159358,6.093381
5/13/2025 8:46,41.498748,2.010252,47.059634,3.779906,36.982223,2.179018,49.521535,4.435506
5/13/2025 8:59,40.454603,1.439445,55.232282,4.55431,44.448037,2.054769,57.953207,6.175979
5/13/2025 9:12,48.751557,2.596665,47.530937,3.6726,49.019693,2.271158,57.214352,6.047175
5/13/2025 9:25,48.311257,2.161297,40.239355,2.879261,52.793178,2.842118,46.930419,4.225516
5/13/2025 9:38,55.849679,3.121975,59.795426,6.320238,55.93234,2.550507,42.669951,3.709906
5/13/2025 9:51,50.33588,2.009811,50.370535,4.981316,51.167344,2.892152,37.2104,2.436611
5/13/2025 10:04,55.902433,2.682236,34.318577,2.61443,53.866993,2.505669,38.375195,2.573929
5/13/2025 10:17,46.798979,1.853465,35.542019,2.391863,46.062846,2.184283,35.843966,2.348995
5/13/2025 10:30,49.259587,2.624105,37.824303,2.412971,46.480064,2.02374,43.557069,3.292558
5/13/2025 10:43,44.242287,1.861543,60.063592,5.159056,51.683085,2.125428,56.5668,5.094649
5/13/2025 10:56,47.644355,2.213903,54.636028,4.505247,45.198664,2.024062,49.79605,4.142454
5/13/2025 11:09,40.50909,1.879378,45.352654,3.699864,46.7034,1.955908,52.431077,5.206673
5/13/2025 11:23,43.573259,1.944416,52.985926,4.356868,42.16649,2.239953,50.234511,4.449894
