Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
5/7/2025 5:21,Qubit4,31.229855,3.785666,0.577567,0.74462
5/7/2025 5:25,Qubit1,19.405845,1.179475,1.043146,0.225517
5/7/2025 5:28,Qubit4,24.469696,2.445882,0.577567,0.700654
5/7/2025 5:32,Qubit1,20.449177,1.174777,1.046276,0.26588
5/7/2025 5:36,Qubit4,28.876579,3.138786,0.577567,0.685912
5/7/2025 5:39,Qubit1,22.340566,1.361054,1.192032,0.321397
5/7/2025 5:46,Qubit1,21.744821,1.164568,1.079181,0.223076
5/7/2025 5:50,Qubit4,28.789625,2.777427,1.329694,0.323131
5/7/2025 5:53,Qubit1,20.509343,1.104124,1.083043,0.236739
5/7/2025 5:57,Qubit4,23.947342,2.054537,1.253889,0.251255
5/7/2025 6:00,Qubit1,19.50356,0.951068,1.101687,0.245849
5/7/2025 6:04,Qubit4,23.769548,2.044576,1.277248,0.272377
5/7/2025 6:07,Qubit1,19.101418,1.218532,1.014288,0.22342
5/7/2025 6:11,Qubit4,26.222763,2.353089,1.272877,0.264415
5/7/2025 6:14,Qubit1,19.138605,1.405511,1.079891,0.244878
5/7/2025 6:18,Qubit4,23.075407,1.89911,1.296321,0.273964
5/7/2025 6:21,Qubit1,23.236381,1.337978,0.99986,0.200911
5/7/2025 6:25,Qubit4,23.447514,1.997463,1.298192,0.287871
5/7/2025 6:28,Qubit1,20.400526,1.382988,1.07412,0.190618
5/7/2025 6:32,Qubit4,23.887063,1.995162,1.236876,0.281766
5/7/2025 6:35,Qubit1,20.803104,1.424947,1.031056,0.228908
5/7/2025 6:39,Qubit4,26.834525,2.543099,1.249576,0.251451
5/7/2025 6:42,Qubit1,23.85687,1.220262,1.015286,0.204771
5/7/2025 6:46,Qubit4,23.538155,2.227382,1.295739,0.290165
5/7/2025 6:49,Qubit1,17.255645,1.060723,1.072696,0.204869
5/7/2025 6:53,Qubit4,22.360109,1.964598,1.17672,0.277638
5/7/2025 6:56,Qubit1,20.462789,1.203031,1.091293,0.253564
5/7/2025 7:00,Qubit4,22.978049,1.817384,1.208485,0.257297
5/7/2025 7:03,Qubit1,19.707443,1.162389,1.039272,0.200549
5/7/2025 7:07,Qubit4,22.163568,1.788835,1.08693,0.206355
5/7/2025 7:10,Qubit1,25.529829,1.389533,1.055574,0.169159
5/7/2025 7:14,Qubit4,22.868442,1.847911,1.227512,0.221753
5/7/2025 7:17,Qubit1,22.892347,1.492482,1.068006,0.207656
5/7/2025 7:21,Qubit4,22.402548,1.893716,1.219014,0.241232
5/7/2025 7:24,Qubit1,22.452306,1.222606,0.996877,0.179099
5/7/2025 7:28,Qubit4,25.580066,2.497565,1.17303,0.213791
5/7/2025 7:31,Qubit1,18.733314,1.025835,1.125943,0.201996
5/7/2025 7:35,Qubit4,17.072801,1.345085,1.138621,0.204823
5/7/2025 7:38,Qubit1,21.638957,1.352703,1.072838,0.181784
5/7/2025 7:42,Qubit4,23.924346,2.24254,1.252242,0.204186
5/7/2025 7:45,Qubit1,25.360277,1.248174,1.131225,0.20902
5/7/2025 7:49,Qubit4,23.234137,1.920945,1.236249,0.256942
5/7/2025 7:52,Qubit1,18.958717,1.026416,1.096956,0.189302
5/7/2025 7:56,Qubit4,24.126587,1.920921,1.189786,0.217379
5/7/2025 7:59,Qubit1,19.398325,0.996226,1.044938,0.178504
5/7/2025 8:03,Qubit4,21.633649,1.670026,1.215107,0.208327
5/7/2025 8:06,Qubit1,21.358511,0.974227,1.070752,0.188035
5/7/2025 8:10,Qubit4,21.626007,2.005917,1.149662,0.232151
5/7/2025 8:13,Qubit1,21.177656,1.063676,1.095453,0.208578
5/7/2025 8:17,Qubit4,19.668912,1.463274,1.313083,0.26283
5/7/2025 8:20,Qubit1,19.706218,1.117024,1.038449,0.174732
5/7/2025 8:24,Qubit4,23.841958,1.640881,1.096504,0.188626
5/7/2025 8:27,Qubit1,18.673796,0.97398,1.041733,0.190756
5/7/2025 8:31,Qubit4,21.117537,1.506083,1.086521,0.182849
5/7/2025 8:34,Qubit1,19.794558,1.157344,1.063711,0.156428
5/7/2025 8:38,Qubit4,20.498245,1.729537,1.115553,0.17439
5/7/2025 8:41,Qubit1,21.975154,1.146536,1.052958,0.152985
5/7/2025 8:45,Qubit4,25.182515,2.578073,1.04485,0.16315
5/7/2025 8:48,Qubit1,21.357608,1.260116,1.027808,0.160344
5/7/2025 8:52,Qubit4,21.740767,1.854932,1.235776,0.187274
5/7/2025 8:55,Qubit1,18.642279,1.163286,1.014705,0.138741
5/7/2025 8:59,Qubit4,22.811893,1.849475,1.107487,0.205789
5/7/2025 9:02,Qubit1,20.928747,1.217826,1.138655,0.174557
5/7/2025 9:06,Qubit4,22.186618,1.841471,1.07335,0.17515
5/7/2025 9:09,Qubit1,17.567388,0.898142,1.081028,0.157786
5/7/2025 9:13,Qubit4,20.157284,1.481909,1.043982,0.161651
5/7/2025 9:16,Qubit1,20.096093,1.151148,0.999273,0.138734
5/7/2025 9:20,Qubit4,19.517659,1.648075,1.121194,0.183086
5/7/2025 9:23,Qubit1,16.751883,0.810911,0.966752,0.158835
5/7/2025 9:27,Qubit4,20.096624,1.773858,1.092146,0.174586
5/7/2025 9:30,Qubit1,21.785493,1.292476,0.999935,0.160443
