timestamp,q4_T1,q5_T1,q6_T1,q4_T2,q5_T2,q6_T2,q4_detune,q5_detune,q6_detune
2025-04-23 04:14:13.577208,10.013,15.093,10.522,2.967,2.424,2.026,0.020999999999999908,0.05799999999999983,-0.006000000000000005
2025-04-23 04:23:12.243338,9.921,12.206,10.166,2.878,2.45,1.96,0.02499999999999991,0.06099999999999994,-0.040999999999999925
2025-04-23 04:32:11.332060,9.896,13.584,9.819,3.06,2.597,2.12,0.02400000000000002,0.06199999999999983,-0.04800000000000004
2025-04-23 04:41:10.485596,9.707,11.887,11.141,3.475,2.62,2.058,0.02300000000000013,0.053999999999999826,-0.03200000000000003
2025-04-23 04:50:09.188739,10.169,13.323,9.961,2.847,2.473,1.946,0.028000000000000025,0.05900000000000016,-0.03400000000000003
2025-04-23 04:59:08.009134,9.768,13.368,8.542,3.099,2.283,2.109,0.04400000000000004,0.06400000000000006,-0.02200000000000002
2025-04-23 05:08:06.805522,10.312,11.187,9.272,3.132,2.443,2.642,0.04800000000000004,0.06499999999999995,-0.006000000000000005
2025-04-23 05:17:05.765217,10.253,12.334,9.39,3.119,2.348,2.178,0.05600000000000005,0.06599999999999984,-0.02499999999999991
2025-04-23 05:26:04.882888,10.238,12.543,9.86,3.341,2.473,1.929,0.05699999999999994,0.06899999999999995,0.007000000000000117
2025-04-23 05:35:03.722904,10.202,11.774,9.497,2.998,2.463,2.287,0.04499999999999993,0.06000000000000005,0.009999999999999787
2025-04-23 05:44:02.516439,9.33,12.761,10.66,3.017,2.299,1.936,0.02300000000000013,0.06800000000000006,0.015000000000000124
2025-04-23 05:53:01.428201,10.448,12.858,11.308,2.966,2.427,2.032,0.03200000000000003,0.06000000000000005,0.0040000000000000036
2025-04-23 06:02:00.283898,10.084,11.896,8.544,2.696,2.53,2.394,0.04300000000000015,0.05799999999999983,0.02300000000000013
2025-04-23 06:10:59.143900,10.258,11.812,10.765,2.977,2.378,2.37,0.03799999999999981,0.040000000000000036,0.03399999999999981
2025-04-23 06:19:57.836472,9.982,13.503,9.44,2.839,2.49,2.007,0.041999999999999815,0.04400000000000004,0.0259999999999998
2025-04-23 06:28:57.057055,10.17,14.526,9.418,2.819,2.779,2.069,0.039000000000000146,0.040000000000000036,0.03100000000000014
2025-04-23 06:37:56.076413,9.747,14.934,10.128,2.975,2.591,2.22,0.03100000000000014,0.028000000000000025,0.016000000000000014
2025-04-23 06:46:55.068827,9.429,12.289,9.881,3.284,2.669,2.042,0.03200000000000003,0.040999999999999925,0.01200000000000001
2025-04-23 06:55:53.967495,9.961,13.356,10.128,3.297,2.299,1.877,0.021999999999999797,0.03799999999999981,0.01399999999999979
2025-04-23 07:04:52.733387,9.867,11.22,7.955,2.853,2.454,2.247,0.02300000000000013,0.04499999999999993,0.01399999999999979
2025-04-23 07:13:51.650773,9.378,13.009,8.913,2.99,2.425,2.001,0.02300000000000013,0.04999999999999982,0.040000000000000036
2025-04-23 07:22:50.525582,9.299,11.616,10.195,3.025,2.378,1.97,0.028000000000000025,0.04300000000000015,0.016999999999999904
2025-04-23 07:31:49.375822,9.61,12.226,10.441,3.005,2.249,2.314,0.027000000000000135,0.039000000000000146,0.03100000000000014
2025-04-23 07:56:48.520082,9.658,13.673,8.726,3.074,2.617,2.284,0.04400000000000004,0.04599999999999982,0.05699999999999994
2025-04-23 08:01:17.190669,10.714,13.564,7.84,3.015,2.654,2.328,0.04499999999999993,0.028999999999999915,0.039000000000000146
2025-04-23 08:05:46.149798,9.88,12.296,10.073,2.914,2.355,2.107,0.04599999999999982,0.02400000000000002,0.040999999999999925
2025-04-23 08:10:15.780993,9.676,12.595,10.782,2.809,2.248,2.028,0.04800000000000004,0.03699999999999992,0.04599999999999982
2025-04-23 08:14:45.428180,11.057,12.863,8.434,3.28,2.376,2.004,0.03200000000000003,0.03299999999999992,0.053999999999999826
2025-04-23 08:19:14.951602,9.652,12.713,9.949,3.766,2.508,1.554,0.03500000000000014,0.02400000000000002,0.040999999999999925
2025-04-23 08:23:44.585959,10.378,12.92,7.987,3.204,2.094,1.855,0.020999999999999908,0.020999999999999908,0.06999999999999984
2025-04-23 08:28:14.208706,9.961,13.472,8.813,3.277,2.402,1.998,0.008999999999999897,0.03500000000000014,0.06899999999999995
2025-04-23 08:32:43.774802,9.69,14.736,10.228,3.155,2.651,1.844,0.03200000000000003,0.02499999999999991,0.05500000000000016
2025-04-23 08:37:13.395793,9.143,13.149,10.898,2.755,2.679,1.75,0.02400000000000002,0.019000000000000128,0.028999999999999915
2025-04-23 08:41:43.092580,10.168,13.066,11.185,3.109,2.559,2.146,0.0259999999999998,0.03200000000000003,0.029999999999999805
2025-04-23 08:46:12.614742,10.051,13.713,10.684,3.156,2.406,1.934,0.039000000000000146,0.03100000000000014,0.039000000000000146
2025-04-23 08:50:42.265050,9.587,13.279,8.64,3.576,2.884,1.696,0.03100000000000014,0.028999999999999915,0.06000000000000005
