timestamp,T2r,T2e,T1
2025-04-22T03:41:11.114750,"[2.9802580256201296, 0.9286613043452183]","[9.458055259721652, 0.26824161557768766]",12.712090054042443
2025-04-22T03:41:59.450925,"[3.953701202134817, 0.9248731729305248]","[21.084802871791183, 0.27137126149000235]",11.915071455859412
2025-04-22T03:42:47.738321,"[2.9617424844031173, 0.92974794695755]","[10.903668976543601, 0.2630652509030784]",11.330070835102115
2025-04-22T03:43:36.046099,"[3.5145150626928126, 0.9109216807049636]","[10.397655121176353, 0.26282196557677917]",11.972296125075944
2025-04-22T03:44:24.344515,"[3.02064125095394, 0.9156849605915038]","[14.227928100122812, 0.2632428191481475]",11.60352807460899
2025-04-22T03:45:12.654650,"[4.1734095271882, 0.923008836988851]","[12.572110328136965, 0.2653381439193372]",11.503836179561606
2025-04-22T03:46:00.924092,"[3.1314700026845794, 0.9238927829619503]","[10.18710170092431, 0.2637810633598692]",13.58499331611333
2025-04-22T03:46:49.245437,"[3.7143159706041637, 0.9365442330968081]","[9.947808712555233, 0.2590536731150297]",11.616958644694392
2025-04-22T03:47:37.547163,"[3.3535631732492623, 0.9226124133196945]","[20.88277400450199, 0.26126950675304306]",12.220477689849593
2025-04-22T03:48:25.823994,"[2.8562640433224864, 0.9147606756683428]","[8.732039569131537, 0.27091122980867954]",12.83450869007159
2025-04-22T03:49:14.122307,"[2.884699067475931, 0.9356333983016856]","[10.768747525758355, 0.26322050812886033]",11.806518757971121
2025-04-22T03:50:02.448128,"[3.6977187641013356, 0.9458215789280016]","[9.900618815089684, 0.268220059187251]",11.52638316526864
2025-04-22T03:50:50.763900,"[3.9169234260584953, 0.9495753000226728]","[47.1285338542887, 0.2643999292963337]",11.724565048257057
2025-04-22T03:51:39.533397,"[3.322559531433488, 0.9376288078989328]","[9.66866675971234, 0.2634110037909956]",11.507731003855717
2025-04-22T03:52:27.839000,"[3.2221760124555874, 0.9217355615596703]","[13.790281507490795, 0.26272231438668436]",11.944221090546575
2025-04-22T03:53:16.162326,"[3.1060853408839297, 0.9177888795346805]","[11.838971255961706, 0.2627811211920865]",12.872548438659692
2025-04-22T03:54:04.512852,"[2.8455468874406864, 0.9332333797526968]","[12.252738178703785, 0.2671928307923359]",11.85885063128164
2025-04-22T03:54:52.941480,"[2.9988729541552885, 0.9432432576128083]","[14.961401731318874, 0.2649599763901458]",11.620070182287739
2025-04-22T03:55:41.293818,"[2.991276142711164, 0.9231791451372078]","[9.845454603728992, 0.26253263479917166]",11.585577591445919
2025-04-22T03:56:29.626335,"[2.88050239295251, 0.9130568414942495]","[10.950399832448536, 0.27011263653627804]",12.541623839352644
2025-04-22T03:57:17.933571,"[3.60214773430663, 0.9607791852690948]","[13.27160320318354, 0.2683292688563421]",12.84308636132867
